,T0-S0,T0-S1,T1-S0,T1-S1,T2-S0,T2-S1,T3-S0,T3-S1,T4-S0,T4-S1,T5-S0,T5-S1,T6-S0,T6-S1,T7-S0,T7-S1,T8-S0,T8-S1,T9-S0,T9-S1,T10-S0,T10-S1,T11-S0,T11-S1,T12-S0,T12-S1,T13-S0,T13-S1,T14-S0,T14-S1,T15-S0,T15-S1,T16-S0,T16-S1,T17-S0,T17-S1,T18-S0,T18-S1,T19-S0,T19-S1,T20-S0,T20-S1,T21-S0,T21-S1,T22-S0,T22-S1,T23-S0,T23-S1,T24-S0,T24-S1,T25-S0,T25-S1,T26-S0,T26-S1,T27-S0,T27-S1,T28-S0,T28-S1,T29-S0,T29-S1
,lightheart,ill,cheesei,daniel,dowdi,cinemascop,thin,gai,tremend,east,bigger,casei,convinc,brutal,broad,wors,showi,monti,unforgett,unjad,rivet,live,lightheart,jenni,heartbreak,incomprehens,waterg,plain,bittersweet,formula,inform,power,phenomin,portabl,beleiv,annual,craziest,hollywood,cultur,versitil,mitchel,uplift,bizarr,superb,redistribut,colin,lavish,mortal,grand,tactic,emblemat,brute,futurist,deadli,sentiment,innoc,exquisit,vincent,move,deep
,reno,odakl,macgillivrai,bitchi,tittl,graini,jaim,bernard,thin,success,seattl,allah,kelli,funniest,lowlif,onlin,craft,baaaaad,e,stern,jaim,schoolkid,affection,ralph,sundanc,lukewarm,brave,newer,act,sophist,chrissi,philipp,loren,steve,excit,devil,basic,backbeat,sensat,levinson,mysteri,incoher,smaller,dubiou,secret,hot,insight,exagger,costum,lead,chineas,irrelev,utmost,numer,friendli,actual,likeabl,predict,super,hopkin
,unstopp,unruli,sharp,glow,lawrenc,recent,meager,woodi,artifici,gratuit,wtg,aforement,tire,success,suspens,rothschild,brown,courtenei,frank,authent,cold,toni,factual,argentina,rel,unnecessari,maggi,conciu,uncont,quot,total,redact,filthi,piss,bree,kristi,trashi,keyboard,trite,wors,brief,gregori,breathtak,anchor,elderli,outstand,lightheart,befit,excess,teenag,buri,spectacular,denis,andi,crude,joy,funniest,affect,mediocr,giallo
,common,dark,denzel,letterbox,shadi,earlier,postnat,deep,minut,rachel,natur,brillianc,extend,varieg,intrigu,comic,abstract,presum,anim,appar,veteran,due,mega,terrif,suitabl,edgi,notabl,sinist,lesser,dominiqu,shatter,recent,previou,previou,everydai,kyle,definit,corrupt,magic,campi,danni,chilli,fabul,avail,dull,seedi,foul,theatric,typic,d,optimist,quick,classier,flat,textil,previou,chill,incred,horribl,moor
,hapless,coldheart,vincent,ash,upbeat,difficult,sick,ultim,individu,rid,tough,ais,breathless,loos,loudest,potestad,skeptic,lone,explicit,unexcit,low,suitabl,ultim,ovarian,bett,civil,homosexu,seduct,decent,genuin,bottom,gaoli,spectacular,biggest,robert,regular,adult,threaten,tyron,net,patient,marvel,lesli,bitter,andrei,cardin,gold,intimid,richer,tame,matine,baptiz,loveabl,fawlti,factual,petti,harold,phil,mainstream,secret
,antiqu,unfortun,artist,fat,silver,underground,rare,milan,fast,mute,accur,former,femal,nymph,clich,talent,hopkin,alright,worthi,unfaith,bore,baphomet,equal,care,video,mass,lavish,liter,misha,x,wise,abov,prize,medic,eager,ugli,merl,annual,english,regular,alcohol,italian,spectacular,alli,stewart,nativ,cinemat,filthi,chaotic,corpor,hardest,goosei,due,effect,tear,talent,demograph,isabel,anthoni,perfunctori
,kei,green,quiet,muhsfeldt,exquisit,commerci,typic,david,mere,loyal,puzzl,inebri,steami,transcend,actual,cheryl,mutual,import,current,overus,cine,bright,fast,beauti,wide,infam,adult,possibl,unpreced,expens,earlier,helpless,stubborn,run,unconvinc,ex,hyster,spawn,music,intellig,dave,japanes,deadpan,ash,weakest,incompar,dumbfound,tini,nobl,biblic,stereotyp,beddo,fresh,dread,past,help,public,ultra,neat,deceas
,graphic,memor,supermodel,insensit,routin,freaki,uncut,ok,controversi,georg,thiat,interestingli,mysteri,kaleil,stupid,duan,ethn,toxic,open,scientif,drunk,gritti,untam,marti,unsettl,stitch,pace,simon,variou,biggest,thrill,paul,healthi,irrelev,maxi,normal,supernatur,gener,commend,newer,roost,dirti,edward,gorgeou,speed,pointer,royal,foolish,melodramat,smart,raw,plush,capabl,convinc,paul,unavail,facial,genuin,lewi,emot
,finest,england,compel,inspir,goofi,bicyl,alien,scarei,amus,meaning,dual,clouseau,fourth,wonderland,later,craze,closer,faust,bruce,anal,ei,such,move,martial,provok,homosexu,higher,contriv,silver,lazi,verbal,stypic,corrupt,bold,sidnei,weakest,fellinisqu,visual,offici,careless,corni,hyster,chief,front,endear,busi,unfortun,retard,grate,viet,natur,wacki,extend,insan,donald,afraid,potenti,familiar,convinc,unusu
,neglig,thorough,prospect,climact,climat,rear,puzzl,close,legal,endless,phantom,seattl,central,tire,insan,richard,minitur,possibillit,pure,brave,mental,gentleman,reluct,newer,irreplac,toxi,femal,feminist,human,storefront,femal,s,pace,frank,vinegari,soil,ricki,crude,date,passion,garland,fascin,safe,soft,local,wise,further,pathedt,outrag,theatric,shaki,westgat,futur,anamorph,rare,exagger,necessari,eighti,quaid,commerci
,vincent,brunnett,b,reccoment,beryl,vigil,shootist,paperthin,creepi,industri,gritti,effect,educ,terr,soft,person,rare,noo,poetic,bloodi,frustrat,gant,debor,robert,amor,celebratori,outright,invent,giddi,local,non,respons,unopen,power,exhilar,scaredi,vivid,automot,b,bright,horrif,bruce,raw,lunat,raymond,protect,unknown,cruel,hot,shock,lucki,giancarlo,blank,revisionist,petti,bruce,vocal,disturb,incident,biggest
,date,abysm,frank,devast,wick,amaturelik,strateg,plu,contrari,green,constant,safe,glaze,noel,mistaken,artist,keeper,countless,intact,supernatur,famou,methodolgi,astound,contriv,quot,finest,detroit,thoma,narrow,hidden,foolish,unusu,blue,courtnei,crazi,particular,miss,horrif,wealthi,lukewarm,letterbox,introspect,clair,sharp,accomplish,pure,useless,con,arctic,previou,broadwai,pyromaniac,pleasant,disnei,blanchett,rampant,curiou,unnecessari,prepar,gratuit
,stanlei,depend,male,lifeguard,fork,hapless,fellow,silli,specif,petti,magnific,sensit,accomplish,cann,usual,nacion,stylish,homophob,royal,implaus,exhilar,sexual,plotless,protest,veteran,satan,shock,godard,turner,human,passion,crass,revolutionari,addict,perpetu,elder,separ,moral,intric,major,small,histor,cool,immens,immens,intens,naiv,familiar,psycholog,gothic,suffici,retard,bitter,primari,harmless,stellar,soft,stealthi,rich,meaning
,sinis,texa,talent,peculiar,aw,lawrenc,dumb,mcfly,intellectu,essenti,innoc,famou,global,quirki,fat,ambigu,mandatori,copperfield,religi,poland,desper,offend,veteran,secret,desper,wendel,fals,havr,mari,proper,suitabl,stepchild,uproari,tropic,stubborn,banquet,bare,lifeforc,soliloqui,zane,weak,worthwhil,clean,gai,valentin,success,junior,social,tediou,grai,humer,flat,cari,repel,secret,harder,dreami,overdon,irrit,chines
,gari,late,yellow,familiar,obscur,certain,ok,fianc,angri,aforement,averag,formula,blind,finest,hopeless,boorish,toni,differnt,suffici,melani,iron,alltim,ernest,fouett,crimin,current,mangi,static,lone,seriou,frantic,valid,weakest,upper,definit,unlaw,arctic,genuin,rathbon,american,quot,wiest,stupid,bibl,magic,spectacular,mcnab,simm,miklo,success,dancehal,hegel,cruel,live,villiou,credibl,margaret,everytim,e,etern
,aliv,emmin,corrupt,superstiti,free,dame,region,clair,random,grip,non,awsom,hyster,daili,clever,undifferenti,dupe,marlei,horribl,blond,plaintiv,amahl,younger,subtl,underground,miss,dumb,fernand,deadpan,date,juli,jaim,sick,david,constant,third,lid,internet,dement,richard,bluegrass,homosexu,lush,distinct,actual,spaci,gullibl,s,stormi,rivet,brief,dietrich,newer,medic,ambiotu,gail,welcom,david,strangest,overwhelm
,reciproc,ako,upcom,duplic,burgess,notic,tommi,appal,sheer,hilari,worthwhil,contrari,peerl,free,easygo,valet,refresh,cinemat,cari,miser,spectacular,rodnei,olymp,familiar,unlik,pain,elder,famous,outdoor,major,dull,onward,open,gener,neil,paralys,surpris,interior,neill,mental,near,rourk,normal,homicid,hook,unabl,thin,nightlif,convinc,adulteress,oh,overweight,liotta,earliest,underr,chines,neurot,third,broken,smokeless
,gentl,pointless,uptight,beat,variou,giovanni,scarri,paula,cathol,liber,rodin,pace,ridicul,move,former,soft,karol,lorr,deadli,dread,colbert,tragic,seriou,intellig,sympathet,dire,anti,sad,nervou,mysteri,stuffi,embarrass,mickei,kei,goodi,independ,jimmi,apocalypt,fresh,quirki,particular,cheap,overwhelm,ugli,alec,unrefin,partial,preposter,scari,decent,extend,predict,youngest,clean,schmaltzi,enlighten,lavish,bruce,stupid,live
,video,girh,tear,jazzi,freakish,lenzi,uniqu,sa,flawless,solid,wide,rare,total,iraqi,quiet,dandi,implaus,careless,exquisit,alfr,wonderful,fatigu,nerdi,loud,irish,green,decent,nuclear,phil,endless,spinal,oversea,allegor,cheap,israel,choreograph,cannib,freaki,erot,elder,whacki,interrupt,jewish,talent,slick,fair,misguid,twist,australian,profession,fenton,blond,present,campbel,frighten,stronger,favourit,dens,jeffrei,light
,funer,bitter,cautiou,violent,useless,hidden,hoki,famou,dare,craze,nashvil,smart,stylish,corpor,clear,import,lukewarm,dry,tradit,invalid,golden,careless,pet,siegfri,darker,outstand,prime,conni,intrus,rubbish,lui,babe,wick,longer,fascin,menac,blofeld,italian,harcor,baroqu,dilig,worn,inevit,liter,ernest,ugli,mortal,mislead,basketcas,frustrat,claudett,muddi,accur,self,ann,lightweight,ruthless,abus,near,finest
,heavi,breathtak,terenc,fascin,sexual,color,missionari,toxic,weak,heroic,move,undisciplin,unfair,paul,deborah,snowboard,aliv,wounder,dry,rivett,lightheart,heartfelt,naiv,wont,multipl,surpass,overnight,unromant,leaven,cheesebal,central,asinin,avid,fake,act,beauteou,magnific,phil,sweet,ethnic,fuzzi,slant,elizabeth,semi,keanu,geraldin,rabid,eager,fals,finest,ruthless,wont,buffi,moral,cari,capabl,tame,certifi,runawai,stronger
,live,spectacular,climact,nake,dumb,success,ralph,grizzli,strike,friendli,moral,drown,expens,nosferatu,close,super,tmnt,entir,imposs,rampant,pretenti,activ,propoganda,phil,graphic,japanes,vinc,hollow,emili,gener,tall,hallucin,penrod,yellow,intrigu,overr,teenag,johnni,arti,broken,steve,bonker,stronger,public,ronald,grei,harold,subtl,sleek,minor,compel,carol,delight,slight,mysteri,ei,unlik,emot,polar,bloodthirsti
,joy,paulin,henri,fake,unfortun,uninvolv,believ,alright,admir,mislead,ridicul,phenomen,present,deep,steve,prudish,complet,misguid,vibrant,sanit,walsh,unrel,terrifi,hbo,pretti,oldest,comed,heavi,marc,hollywood,stabl,paramed,paul,daili,imagin,vener,gloomi,requisit,scarlet,endear,move,alot,soviet,bizzar,busi,pretenti,stellar,hidden,fragil,controversi,opsit,fife,silent,president,remarqu,tadpol,unabl,extra,late,earlier
,spectacular,appar,laveri,stun,inspir,readi,brief,non,sober,enorm,chic,miss,paralyz,wise,horribl,unmatch,sound,traudl,fiction,terrifi,peripher,defunct,fiesti,gothel,anxiou,naiv,terrorist,willi,safe,third,casual,nake,absolut,phenomen,femal,quaid,actual,hammond,constant,aggriev,sick,pathet,remark,profession,sole,isra,pace,yoeh,controversi,predicat,due,bunuel,insuffer,valubl,schoolhous,kirsti,rivet,sinist,trippi,dandi
,jame,homophob,golden,regenc,civil,orient,exclus,pointless,econom,conserv,mythic,uniqu,minut,sean,defin,phil,texa,incred,witti,uninterest,minor,satur,heavi,silent,past,jame,john,distract,realist,extra,cold,flat,convinc,intens,darkli,crappi,taut,dirti,person,milan,petti,occultish,unsympathet,lone,superl,unjust,deliber,brief,biggest,disconnect,rare,montag,cultur,japanes,faith,lucki,confid,brillianc,recomend,veng
,deaf,joel,former,memor,alien,unwil,foss,nude,literari,ethnic,anastasia,unbeliev,truncat,deadli,snag,steadi,traumat,svemu,hyster,ghostli,magic,swift,peripher,south,remark,coloni,misguid,ersatz,halari,montag,innoc,aliv,overr,utilitarian,woodi,stuf,delight,fake,alter,marshal,favourit,pittsburgh,mulholland,artifici,pace,elderli,gener,plain,believ,hot,present,faux,realist,drab,capabl,crude,sound,cynic,eastwood,potti
,thick,doubl,martial,denis,loui,unrat,influenti,foreign,gross,futur,celin,power,unconvent,unfinish,tradit,bizzar,sexualtli,breathtak,credibl,twist,percussionist,forgotten,gross,lethal,mysteri,cheesebal,unexpect,bliss,alien,seventh,afraid,content,grai,humbl,brown,date,dry,univers,western,phenomin,nake,convinc,dry,delight,valiantli,infam,sterotyp,prefect,donni,initi,vulner,fumbl,slight,person,infern,inept,engag,exquisit,rough,abov
,gross,fellow,extend,dissid,highest,particular,licens,cruel,fat,artist,richard,phil,incompar,collabor,mediev,exposit,stylis,infinidad,natur,angri,bruce,irish,capabl,obscur,simplist,appeal,charli,corni,visual,illeg,contagi,hoot,heroic,frighten,objection,person,awol,consol,molli,multipl,pullman,starski,allison,core,basehart,odd,heroic,tuol,lovabl,clair,charlott,ringwald,everydai,bare,recent,militari,sorri,dearest,intens,clear
,ronni,beezl,fay,vagin,skew,wide,gore,exquisit,impend,remot,individu,dumbest,sensori,hamlet,sick,inept,sidewai,tractabl,inner,lone,former,postcard,daffi,intim,polit,pronounc,directori,darkest,frustrat,foolish,outdoor,wacki,repetit,tangl,clint,nude,broken,central,stupid,substanti,previou,reccommend,suitabl,outer,pure,pink,remark,present,audrei,miscast,trounc,stereotyp,tittenhurst,ruski,ambigu,effect,louis,skew,popular,slick
,local,moral,klunki,grapihc,precoci,foggi,tougher,gratuit,erot,astonish,southern,bearabl,costum,lazi,micheal,aliv,gener,dejen,mere,preciou,cain,garfunkel,overprotect,trite,tediou,climact,johnni,simpl,creepi,close,wist,cheesi,endless,witti,frustrat,doin,quick,cheesebal,middl,heart,curtesi,crave,eeri,classic,loui,unnecessari,labrynth,gener,humanist,rublev,horrid,eager,congenit,absurd,anim,appar,cultur,schizophren,clear,deeper
,kline,slim,weari,auspici,pirat,exact,scarei,careless,teenag,exagger,confus,cruel,timothi,overwork,marvel,disco,quirki,shock,etern,sympathet,plain,lousi,couldnt,unreal,irrever,airborn,toni,fond,mousi,tame,christma,secret,support,arnold,littel,terrif,delux,jane,endless,spectacular,dry,psycholog,fast,controversi,chaotic,santorini,multi,splendid,spike,islam,harmless,flashi,vocal,sexiest,pure,addit,taut,power,broadwai,pikichu
,maclain,newform,kiki,iron,vaudevil,unfortun,male,wannab,distant,notori,believ,bruce,runawai,bridgett,incl,steve,cole,uninspir,kurt,rough,stout,incorpor,hurridli,frank,current,idiot,busi,jeann,twist,blue,liber,extra,contemporari,marri,whiter,delinqu,billi,horribl,extraordinari,middl,date,comic,unbeliev,prior,betray,abomin,overpow,stupidest,particular,novel,undisguis,nake,texan,grung,pregnant,anachronist,inner,unlik,stronger,talent
,murrai,western,imagin,plucki,clich,unseri,le,delight,tight,primari,phil,mond,enthusiast,limehous,walt,kabbalast,small,munsei,healthi,plastic,newer,desper,convent,earnest,dare,misogynist,rival,iron,pretti,histor,omnipres,hollywood,laughton,unrat,pierr,engross,snowi,awsom,comin,yvonn,faith,current,closer,biggest,minstrel,total,worthwhil,rubbish,slow,disnei,horrif,skeezi,corki,distruct,e,common,straight,amor,dull,posh
,athlet,novalyn,verbal,modern,plenti,freewheel,individu,porsch,rees,verbal,imperfect,annabeth,grand,anniversiri,harri,biggest,migrant,mcguir,astound,mutant,toni,shock,ador,romant,elus,dame,quintessenti,eric,deviou,unrefin,pregnant,funnier,timeless,industri,starv,jive,defintlei,askari,current,aw,disturb,minim,vast,physic,fiction,biggest,pain,necessari,postwar,daytim,fourth,petti,matine,bitter,inan,bland,magnific,tame,serio,larg
,unwelcom,scrict,respect,wont,astair,miniscul,past,irish,mad,ex,unrel,lame,empti,nathan,roger,usual,monstrou,redeem,alien,superb,jame,montagu,danger,absolut,delet,blond,remot,english,futur,recomend,act,unw,thin,mutant,close,total,tommi,raw,seuss,unnecessari,uncondit,rabid,honor,patriot,compel,captiv,evid,psychot,corni,randi,angri,obsequi,weekli,insid,rampant,hateabl,fanci,heavi,leverag,marri
,vulner,dont,googl,constant,le,tortur,certain,prime,wick,howard,fred,corrupt,readi,fast,definit,carnal,altern,talent,empti,dummi,fellow,late,mari,elus,glow,suav,pierc,stun,femal,lovabl,ultim,selfish,profound,endless,current,inner,excruti,chri,male,wari,interact,wise,mock,dread,controversi,usual,hopeless,d,sympathet,blown,smokin,bodin,educ,sensit,commerci,hillari,inspir,homicid,jolli,b
,bruce,hugh,definit,cheesei,lame,kansa,mustach,entertain,separ,lousi,numer,downtown,forgotten,rich,vacant,paradox,unbath,acci,casual,extra,eager,intellig,cinemagraph,non,untouch,certain,newer,green,horribl,seamier,fast,familiar,skinni,filthi,prestigi,inevit,westworld,debbi,acadami,unnerv,sceptic,kei,weari,extend,basal,frill,tire,fred,gold,similar,nake,scari,delusion,grave,white,ador,menac,holli,chines,excit
,jill,psychot,unlik,crip,preposter,ex,middl,kitsch,horrifi,astound,kierkegaard,awar,sharp,blatantli,unmatch,uncensor,minut,trillog,immort,semi,brill,intent,sweet,engval,clouseau,korso,authent,juli,don,incred,talent,busi,jelli,dumber,slim,crusti,aw,fatal,cheap,slade,golid,aliv,meaning,lesser,magnet,singl,arlen,fabul,highest,tight,biograph,soviet,untru,appar,tediou,dirti,darker,nervou,graciou,breathtak
,offens,photograph,local,rubbish,militari,charlton,respect,central,photograph,elabor,teen,lead,england,mistaken,front,privat,audio,unsuspect,fresh,eager,unfett,unopen,jealou,contemporari,english,twist,eric,preston,audrei,fat,tight,younger,mileston,excit,tarkovski,light,challeng,person,crisp,crazi,denni,hutch,thoma,earlier,cabot,ovi,passiv,quot,former,lucki,physic,dachshund,angri,utter,worthi,horrid,absurd,foreign,worri,broken
,unbeknownst,rare,dull,traudl,sweet,crappi,univers,anchor,corpor,barbar,bertrand,unscrupul,tremend,dissapoint,cyanid,thoma,haylei,propabl,strict,neutral,unrel,exact,particular,pete,incomprehens,luxuri,copeland,standard,entir,requisit,hamlet,latest,predispos,italian,alright,dry,offens,numb,underwat,grumpi,luke,romant,bold,pari,vile,endless,fallen,oh,sumptuou,england,alright,compel,mid,giant,breathtak,worn,catherin,preppi,fake,ultra
,anthoni,funki,daniel,catherin,nake,obscur,emmyl,newer,awkward,disench,authent,sugarco,slight,shy,heather,oh,inspir,vurk,nervou,stronger,senior,disturb,profession,eponym,inner,physic,promin,guilti,super,later,definit,formula,extraodinari,paranoid,mini,unbridl,brutal,frustrat,solo,hook,innoc,potenti,slaughter,calcul,valid,violent,lizzard,singal,snappi,famou,scari,singl,randolph,ultra,zalman,haunt,afraid,tart,legal,pleas
,unexplain,proverbi,uniqu,authent,vivid,tommorrow,super,mesmor,innov,blond,adept,conjoint,zatocihi,spaciou,capabl,worthi,human,inordin,clouseau,underli,sinist,raini,arnold,ellerb,rikki,hutch,feminin,artist,tame,chong,covert,allerg,baker,worthi,grai,amor,red,shortsight,fate,psychiatr,justifi,babyish,move,dumbest,fluid,similar,kenneth,moral,rebuilt,free,similar,stun,mindblow,ruscico,grotesqu,teen,feisti,naiv,commit,pointless
,hungri,contrari,pretti,top,mirisch,sexual,smooth,dull,casual,toni,naturali,influenti,giant,kei,jane,intrigu,bergin,patriarchi,mislead,lowest,south,shun,certain,wild,jane,thin,relev,gori,regular,intellig,stun,determin,admir,innoc,availab,averag,fletch,fat,technic,hollywood,motorcycli,progress,verbal,unauthor,flic,quadroupl,mistreat,laden,quiet,extend,pointless,tediou,audio,actual,mari,factual,watchabl,present,introspect,mad
,eager,intrest,motherli,english,intrigu,meaningless,eponym,sexi,ruthless,genuin,likeabl,neo,talki,amateurish,weslei,turkei,quiet,tragic,fifth,dramat,trounc,randolph,smart,thoma,horrif,audio,awar,global,beta,actual,british,freaki,dull,operat,particular,bleu,rouben,compuls,lightheart,provok,clouseau,sound,stellar,mix,catchi,regenc,aquaint,raini,golden,absurd,sick,raw,complic,howard,noir,freakin,alec,hardi,sloppi,heffalump
,exquisit,demolish,ridicul,wraith,excess,enjoy,gurl,definit,chines,philosoph,handedli,laur,patti,mid,hillari,rivet,samuel,bruce,tight,dumber,feminin,enough,diggler,sick,unrealist,sorri,miser,particular,chri,ultim,anthoni,standard,fine,apppeal,strong,easi,gari,teen,martial,holywood,depress,retard,longer,incomprehens,visual,regular,henri,hutch,gigolo,comed,unrat,sapphic,guilti,cinemat,french,artifici,distant,highest,irrever,annual
,neat,snappi,denis,grown,gruesom,lungl,monteliu,memor,privileg,spiritu,silver,enthusiast,reverenti,signific,ordinari,pace,witti,mechthild,blank,visibl,slim,roug,milosev,miscast,orgin,pixyish,juliann,brown,offend,youtub,hispan,choreograph,addit,jurass,twist,oblivi,fanat,sheer,french,senior,sacr,dashwood,creepi,standard,ei,whistl,woodi,proverbi,ill,fat,mid,botch,vibrant,extend,absolut,uneven,bloodi,alarm,funnier,spiritu
,plausibl,campbel,impression,fast,lewi,portugues,treament,d,weird,rental,stabl,stilt,creativ,watchabl,rough,everyman,influenti,hollywood,rough,s,steve,lent,denzel,usher,fiction,worthi,social,icon,tesh,toni,mcvai,rene,ponder,mental,horribl,straightforward,lead,larri,particular,derang,magic,asteroid,urban,inspir,clouseau,intrig,underappreci,juliann,peac,abund,financi,communist,adolesc,pathet,foreign,rough,grim,intern,alern,southern
,heart,thrill,frustrat,phenomin,total,religi,perenni,tremend,dreari,unnecessari,gift,lightheart,awkward,landmark,lead,curiou,astound,vacil,complic,liber,confeder,merrel,charli,subsequ,intrigu,further,mix,enlighten,jane,realist,sappi,imagin,shrink,nicer,laurenc,meager,uniqu,mysteri,cont,swanson,pastrana,suffici,loos,fals,refresh,disturb,angri,greater,scott,outstand,bailei,valuabl,howard,confus,deep,liber,fat,delect,artist,friendli
,older,greatest,extraordinari,thin,central,compress,moral,viciou,massiv,anamorph,mumbl,unwit,thin,spellbind,right,thrill,realist,unw,greater,wider,super,gerti,earl,christma,boyish,gnarliest,paulett,ei,west,venom,superb,passabl,natur,sound,crusti,consumm,boobi,decapit,matur,talent,flat,doubl,divers,hidden,josephin,suspici,smooth,alien,respons,marlow,unbox,courag,coolest,elephantman,solitari,unfortun,creativ,tall,temporari,super
,intrest,highest,matur,scarri,goriest,mislead,clear,orlac,deeper,intent,rees,undetect,mix,aliv,warp,moto,likeabl,teenag,random,virgin,fifteenth,technic,opposit,louie,intens,charm,gori,snooti,pathet,eric,clueless,cinemat,biblic,obviou,junta,nefari,hoof,gai,renown,charli,slight,courtenei,facial,adopt,unreal,sexual,uniqu,obviou,foreign,pure,aweigh,colin,gil,jame,dirti,emot,ei,italian,deliber,underr
,third,unend,omnipres,mean,wing,remix,temporari,apprehens,rural,infest,garland,darkest,unhappi,civil,deviant,leuchter,garland,westgat,b,lousi,zane,cadin,evid,dave,uppiti,kansa,submarin,washi,blank,spectacular,gorgeou,proud,junior,incred,barrymor,confus,decompos,traudl,acdemi,barri,squee,underus,lenni,frustrat,stupid,speedi,utmost,andi,communist,socialist,dead,light,live,xtina,proud,kathi,ferri,viciou,open,verbal
,biggest,middl,mere,superb,ill,chitti,baptist,unsynchron,tens,intact,empower,disgustingli,gai,tall,solid,uppanc,tough,johnni,mundan,b,gritti,compel,catherin,american,black,nicola,subtl,quaid,unemploi,grapefruit,bett,cystal,gross,artist,singl,huge,sappi,gari,tortur,irat,secret,energ,aggress,surreal,dirti,dirti,dual,doubl,mystic,physic,conceit,militari,coronari,grail,red,cornbal,torment,exud,pefectt,exagger
,flat,feeli,fit,mephisto,royal,lucki,noah,plastic,existenti,critic,central,timeless,notabl,bloodi,moor,italian,elk,mad,shallow,hardi,microbiochem,gabriel,classi,racist,mild,damn,whimsic,wari,foolish,stellar,jealou,dissapoint,vinni,stalk,touch,wont,b,germ,rachael,rosalind,emili,demograph,asham,brief,halfbre,inconsist,crazi,f,northern,ultim,lomax,fake,blurri,sydnei,english,annabeth,eddi,nosi,signific,robert
,crass,kei,stargat,ador,daniel,tamer,southern,kitten,gritti,greater,standard,empow,shellei,scifi,ralph,bicentenni,raunchi,easi,implaus,requisit,authent,stir,steve,mariel,pace,snowboard,funer,swiss,shock,civilz,extrem,unequ,suspens,sneaki,clean,portugues,larri,thankfulli,dupe,disgust,nashvil,deuc,blue,texa,gener,lewi,near,market,jeffrei,typic,contrari,wild,commonplac,vichi,halari,jaim,ridicul,outrag,frank,near
,disprotect,scarei,rode,horrid,hot,pedant,spoil,fallen,toni,sudden,frankenthumb,minor,bandit,factual,electr,frontal,trivial,migrant,awkward,shoddi,undef,boland,slobodan,meaningless,welcom,newfound,russian,awar,albert,utter,implaus,favourit,grown,smart,quaid,dimension,abstract,lional,exot,arti,murphi,ebai,play,gori,brazilian,mcdonald,nation,further,chief,rip,quentin,randi,foul,utmost,robert,coupl,unknown,miss,depardieu,loveabl
,financi,ducktal,patsi,archangel,unsaid,todd,corni,subject,oppress,unlik,sensual,resili,static,overwritten,andi,success,mechan,leopold,technic,jealou,bixbi,ambival,billi,insati,incorrect,intrigu,certain,shellei,lead,fnm,hart,b,impecc,formal,peckinpavian,precis,lone,bright,deborah,clouseau,idol,babe,empti,sluggish,absolut,lumin,dube,whini,overwhelm,fragil,divorc,joshua,gold,influenti,kate,horrend,sublim,threaten,heart,nichola
,heartfelt,atom,provok,nation,jane,intern,unforgett,venic,enorm,deaf,weak,wooden,absurd,horrif,cartoonish,recomend,sydow,dramat,plain,futurist,reson,gertrud,carnal,stabl,public,remembr,distract,current,major,gloppi,futurist,nicest,worthi,physic,memor,surreal,empti,date,dramat,manipul,japanes,abov,bruce,current,stricken,muscular,cinemascop,enough,decent,japanes,youtub,roundest,fanci,date,asham,unthink,unsettl,unorigin,ei,younger
,pivot,lacklust,decent,incomprehens,rare,margin,tragic,stoppabl,scientif,lazi,color,magnific,x,phoenix,natur,watchabl,hook,biggest,stern,philosoph,endless,essai,aliv,necessari,psycholog,facial,strang,christma,artist,freddi,freddi,absent,actual,odett,grizzl,vibrant,spawn,spiritu,familiar,roberto,nerd,expens,darker,uneven,corpor,variou,rare,biggest,distinct,fanci,vile,autobiograph,scott,multipl,practic,georg,heroic,open,halari,naughti
,difficult,person,damn,vann,betti,retent,mostel,singal,matur,viciou,due,supris,pervas,steve,explicit,effect,jacqu,barren,swedish,dirti,local,enjoy,older,howard,singl,crude,sexual,newfoundland,altern,saddest,cheap,surreal,perplex,jane,pittsburgh,cultur,shakespear,stanlei,brief,enjoy,lesser,tepid,marvel,uninvolv,satisfactori,marvel,loocher,starski,poetic,craze,bakker,social,moral,terrif,confus,underdevelop,insight,laughabl,puppi,mew
,gallant,ecstat,illustratd,readi,orient,multi,sissi,german,consciou,inconsist,youger,dock,east,medic,dead,harm,s,western,suspici,tighter,sidnei,simpl,sublim,eccentr,gloomi,garland,colour,memor,braugher,jolli,unbeliev,sexual,innoc,opsit,marg,irish,harmless,dumber,disnei,constant,sidnei,worthi,excit,wise,violent,immedi,valuabl,nostalg,definit,rudimentari,evolutionari,daili,bare,gradi,chines,fake,fianc,respons,clean,subtl
,shepard,nichol,viciou,hot,mike,watchabl,memer,grip,vivid,standard,light,date,dedic,multipl,steadi,maurei,mysteri,feebl,slight,color,dynam,calbr,brightest,neural,exquisit,unintent,pakula,uniqu,poignant,wendi,sincer,cole,fellow,idol,breckin,common,unlik,pad,famou,handycap,fascin,patient,con,atom,middl,northern,valid,awful,wealthi,simplist,lawrenc,empass,newberi,lazi,grown,multipl,outrag,terrifi,italian,suspens
