,T0-S0,T0-S1,T1-S0,T1-S1,T2-S0,T2-S1,T3-S0,T3-S1,T4-S0,T4-S1,T5-S0,T5-S1,T6-S0,T6-S1,T7-S0,T7-S1,T8-S0,T8-S1,T9-S0,T9-S1,T10-S0,T10-S1,T11-S0,T11-S1,T12-S0,T12-S1,T13-S0,T13-S1,T14-S0,T14-S1,T15-S0,T15-S1,T16-S0,T16-S1,T17-S0,T17-S1,T18-S0,T18-S1,T19-S0,T19-S1,T20-S0,T20-S1,T21-S0,T21-S1,T22-S0,T22-S1,T23-S0,T23-S1,T24-S0,T24-S1,T25-S0,T25-S1,T26-S0,T26-S1,T27-S0,T27-S1,T28-S0,T28-S1,T29-S0,T29-S1
,first,better,shogun,nasti,clouseau,complain,old,complain,favorit,old,impress,hate,littl,function,better,nasti,glad,least,big,main,classic,regret,long,complain,next,most,jake,annoi,amaz,differ,same,littl,worth,wast,finest,old,recommend,hate,fun,hard,more,mani,nice,such,last,least,same,interest,dimension,annoi,hot,such,few,whole,much,first,interest,sexual,same,old
,nice,hate,realisit,troubl,worthi,last,interest,slow,white,origin,littl,nation,amaz,most,scoobi,regret,ethel,cyclop,perfect,big,awesom,junk,nice,own,interest,rural,most,big,real,much,consider,real,modern,clair,fantast,hate,steve,terribl,young,trent,happi,nasti,worth,better,better,unhealthi,second,new,perfect,second,last,terribl,full,problem,sure,more,perfect,michael,most,last
,attract,funni,eventu,problem,perfect,clear,full,complaint,differ,import,big,nasti,most,schizophren,new,funni,better,first,greatest,much,young,more,hard,weak,worth,innoc,long,marri,worth,hilari,whole,least,last,few,better,classic,real,best,nice,common,interest,inferior,brilliant,young,same,same,onli,much,most,comic,excel,sure,special,cool,enjoy,horribl,funni,high,fantast,differ
,best,few,lastli,regret,entir,troubl,funni,more,black,dead,such,big,high,stern,beauti,unsuccess,straight,denre,most,high,henri,unaccept,transcendent,troubl,same,same,true,overal,classic,hate,altern,legal,favorit,interest,young,new,last,fascin,old,worthless,halari,mess,true,low,onli,late,entertain,littl,love,white,perfect,onli,happi,first,bitrat,poor,fine,least,much,tupac
,few,best,guess,other,onli,neg,fantast,full,recommend,big,sweet,other,japanes,enigmat,sever,new,first,funni,favorit,problem,black,true,real,best,happi,lame,huge,wast,hard,troubl,nesten,own,own,most,few,same,hilari,comic,impress,hate,classic,complain,fun,own,western,slow,main,scari,second,disappoint,attract,best,hard,most,hard,care,high,funni,entertain,same
,perfect,real,samuel,few,favorit,first,happi,real,hard,differ,steve,complain,funni,origin,mimi,hard,second,same,sure,last,stargat,brutish,own,small,high,poor,fine,wild,fred,wonder,microsoft,usual,fantast,funni,freddi,smart,pwn,old,funni,nasti,pretti,hate,least,michael,high,true,interest,few,onli,more,amaz,hate,whole,own,conveni,retard,few,annoi,fun,serial
,true,own,new,free,real,special,whole,few,high,human,other,wast,fantast,endear,abl,inferior,fantast,other,second,few,mani,origin,tommi,interest,awesom,sound,high,problem,much,classic,real,crazi,funniest,x,more,severin,richard,richard,cari,wast,most,regret,high,simpl,wonder,garfield,funni,own,interest,interest,new,mess,fun,mani,scari,same,small,troubl,long,low
,gorgeou,young,excel,best,few,major,high,junk,origin,annoi,forbidden,inspir,entertain,shock,pirat,complain,wonder,regret,short,young,origin,rublev,much,larg,cari,littl,happi,old,interest,more,worth,bloodi,onli,moulder,artist,inferior,short,evil,next,first,sever,much,dark,origin,toni,wari,differ,origin,whole,differ,special,brown,sandi,few,brilliant,neg,classic,earli,real,new
,real,sound,wonder,first,young,entir,tough,regret,onli,whole,long,worthless,same,weird,amaz,eddi,more,upset,easi,import,excit,ell,public,most,hilari,hate,onli,true,awesom,regret,differ,regular,honest,hilari,delight,michael,amaz,real,first,delight,onli,most,new,funniest,few,few,cool,past,own,audio,fay,typic,least,dead,unobstrus,least,sexual,comic,worth,final
,own,worthless,color,human,sure,nasti,hard,worthless,happi,white,own,hard,shakespear,wonder,fantast,upset,true,nasti,next,special,same,fifteenth,white,nerdi,much,whole,theatric,lone,abl,black,best,few,hard,youtub,witti,complain,few,funni,big,junk,fantast,worthless,amaz,full,michael,littl,few,differ,true,big,wonder,neg,origin,free,certain,aw,better,interest,young,least
